datetime,author,message,superChat
2025-06-01 17:27:56,Burak Gülmez,Abi selam ps2 fifa11 tekken 5 bakugan gibi oyunlarım var ama kutuları yok para eder mi değeri var mıdır? Kolay gelsin,TRY 109.99
2025-06-01 17:28:08,Kadir,@Go Kalp yarın kapalı,
2025-06-01 17:28:18,アタカン,etmez,
2025-06-01 17:28:30,Azat,Bakugan ı kaça bırakırsın,
2025-06-01 17:28:31,Flori Mumajesi,Benjamin ayarlıyamıyorsun yayının sonunu kanki:),
2025-06-01 17:28:32,Ferhat Yarğın,Ps5 satan var mı ,
2025-06-01 17:28:35,Mustafa eren yüksel,500'e alırım,
2025-06-01 17:28:49,3dyasin,5 dolar vereyim,
2025-06-01 17:28:51,Deniz Kaya,Küçük ekranı büyütüp izleyenler:raised_hand:,
2025-06-01 17:28:51,eren can,kutusuz oyun çiziktir. çizik oyunda para etmez. oyunları özenl,
2025-06-01 17:29:03,Go Kalp,ferhat 15k ya satarım,
2025-06-01 17:29:21,Kadir e,PS4 FIYATLAR NEDIR ARKADASLAR KIRIK,
2025-06-01 17:29:21,DonnieDarko9154,kamera açısı neden böyle,
2025-06-01 17:29:22,Ferhat Yarğın,Go kalp ilan var mı ,
2025-06-01 17:29:27,Baran Kezman,istanbuldaysan çarşamba günü istanbula gelicem sağlamsa alabilirim,
2025-06-01 17:29:30,Hamza Iris,Welcome to Okey - Esnaf Mode On!,
2025-06-01 17:29:34,İnvaderlar,Abi sana bir şey daha soracaktım istanbula gelme şansım yok bizim memlekette malatyada cd li oyun satan yok sende çizik assasins creed var mı senden aldırsam veya kargolama şansın var mı maksat süs iç,TRY 110.00
2025-06-01 17:29:36,GaSsAl JR,Kapatçak diye gittim 30 dkdır hala yayın var,
2025-06-01 17:29:40,Go Kalp,var ama yayında değil,
2025-06-01 17:29:43,DEMI,taner abicigim seviliorsun,
2025-06-01 17:30:03,Hamza Iris,Welcome New Member!,
2025-06-01 17:30:11,DonnieDarko9154,benim yazdıklarım geliyor mu,
2025-06-01 17:30:16,Hasan Kerem Sever,l,
2025-06-01 17:30:16,simple,selam mallar ,
2025-06-01 17:30:34,Can,Kargo yapmıyor şu anlık,
2025-06-01 17:30:43,Mustafa eren yüksel,Hala Gta5 oynayan var mı ,
2025-06-01 17:30:45,Hamza Iris,@DonnieDarko9154 yes ,
2025-06-01 17:30:48,Đeimos,@simple as 0e,
2025-06-01 17:30:52,Halil ibrahim Toprak,Düzenle topla temizleyi her gördüğümde yarılıyorum sjsjwlalaş,
2025-06-01 17:31:17,Ich bin Karl.,istanbul ici kedi sahiplenmek isteyen var mi anadolu yakasi,
2025-06-01 17:31:18,GaSsAl JR,Welcome New Member!,
2025-06-01 17:31:23,DonnieDarko9154,@Hamza ıris sağol,
2025-06-01 17:31:27,Commander's Route,merhaba,
2025-06-01 17:31:28,ilan ,en iyi tv kesinlikle lg dir,
2025-06-01 17:31:32,Lynex36,.,
2025-06-01 17:31:35,Go Kalp,assanains creed var satıyım sana 250 tl 50 tl kargo parası alıyom,
2025-06-01 17:31:38,Burak,kapatmıyor mu,
2025-06-01 17:31:39,Eymen Yeşidağ,Xbox series s varmı izmir,
2025-06-01 17:31:54,some respect,hani pazar çalışmıyodu ,
2025-06-01 17:32:12,Furkan Toprak Baş,xbox one s 1Tb satıyorum gençler,
2025-06-01 17:32:14,TARIK YILDIRIM,kiz el sallıyor,
2025-06-01 17:32:14,GaSsAl JR,Pazartesi çalışmıyo,
2025-06-01 17:32:14,Celal b,abla napıyon,
2025-06-01 17:32:17,İsa Kocaman,asdasdasdasdasdasd,
2025-06-01 17:32:18,Samet Bayındır,hi abla,
