datetime,author,message,superChat
2025-06-01 15:04:57,za,oki doki para bitti doki ok,
2025-06-01 15:04:57,s.s.s,abi ps4 rdr2 ne kdr,
2025-06-01 15:04:59,İsmail Basaran,Selam hayırlı yayınlar hayırlı sabahlar :smiling_face_with_hearts:,
2025-06-01 15:05:01,Baylaz,ps4,
2025-06-01 15:05:01,Mustafa Sal,dükkana neden tabela koymuyon,
2025-06-01 15:05:01,serdar ,abi tisortu satisa cikarmayi dusundun mu hic konsol oyun tshirti ,
2025-06-01 15:05:03,Berk Güngör,selamünaleyküm,
2025-06-01 15:05:03,İsimsiz,abi tişörtün ıslanmış,
2025-06-01 15:05:06,Bartu Uludağ,abi kolsuz ps4 fat kasa ne kdara alırsın yada fiyatı nedir ?,
2025-06-01 15:05:07,Eymen Kerem Arala,abi,
2025-06-01 15:05:10,Mergen Tenjin,Abi arma reforger var mı,
2025-06-01 15:05:11,Ali faruk Lakalı,masa çok dağınık,
2025-06-01 15:05:15,Spartanrage,rdr2 ne kdar ABİ,
2025-06-01 15:05:15,Batuhan Avcı,Cu,
2025-06-01 15:05:16,Example None,"abi çok dar tişört giydiğin için fazla terletiyor, biraz oversize giy",
2025-06-01 15:05:17,serdar ,abi tisortu satisa cikarmayi dusundun mu hic konsol oyun tshirti ,
2025-06-01 15:05:17,Serdar kaan,Koleksiyonluk oyun alıcam abi çizik oyun ticareti yaparmıyız,
2025-06-01 15:05:18,rumeysAyse,Abi sa GTA altı için PlayStation 5 almayı düşünüyorum mantıklımı sadece gta6 oynicam ,
2025-06-01 15:05:19,Dogus,oki doki,
2025-06-01 15:05:19,Cihan,Bu sakalların durumu ne reis kesmeyi düşünmüyormusun ,
2025-06-01 15:05:21,isyncc0,abi kokoreç vlog,TRY 22.00
2025-06-01 15:05:21,kamilgucluu,abi ufak tefek mi allah için çok terlemişsin,
2025-06-01 15:05:25,Hasan Artan,Beyaz tişört var mı ,
2025-06-01 15:05:27,Furkan Benim Ulan,tamam abi,
2025-06-01 15:05:28,serdar ,abi tisortu satisa cikarmayi dusundun mu hic konsol oyun tshirti ,
2025-06-01 15:05:30,REAL,ustam bu kadar slim giyme bol kalıp giy daha az terlersin.,
2025-06-01 15:05:30,Ercan Kar,klima takribi ne zaman takılir,
