datetime,author,message,superChat
2025-05-30 14:19:46,games hack,aynen o yüzden mi buyuk firmalara surekli gdier gösterip 2m ciro yapıp 10bin kdv ödüyor gormesek bilmesek neyse :face_with_tears_of_joy:,
2025-05-30 14:19:48,Shorts Türk ,geldi ceza,
2025-05-30 14:19:49,Faruk Kocak,dün polis bugün maliye ne oluyoruz?,
2025-05-30 14:19:50,berkay gürbüz,ses gg,
2025-05-30 14:19:50,Emre ,@Muhamet fiyat ?,
2025-05-30 14:19:50,Fugue B,sesi açıp kapatıyorum 5 dakikadır ya :grinning_face: ,
2025-05-30 14:19:51,Atakan K,Dev Arşivi japonlar satın alıyor pazarlık yapılıyor japonca ,
2025-05-30 14:19:53,Emre Can Erdoğan,Ankara satılık gow ragnarok ps5 cızıksız,
2025-05-30 14:19:58,Luckyhero,tabela olmayınca işyeri ruhsatı içinde gelmiş olabilirler gerçi ona belediye zabıta bakar ama tabela yok girelim demişlerdir,
2025-05-30 14:20:00,Benjamin Linus,:red_circle: Lütfen spam yapmaktan kaçının! Aynı mesajı tekrar tekrar yazmak sohbetin düzenini bozuyor. Uymayanlar uyarılır veya sohbetten çıkarılır. Kurallara uyalım! :folded_hands::speech_balloon:,
2025-05-30 14:20:00,Huayra,Ses,
2025-05-30 14:20:01,@burak,kürtler vadisi Cahit geldi,
2025-05-30 14:20:01,Tilki,Rutin maliye ziyareti bir şey yok,
2025-05-30 14:20:02,Carsen Edwards ,noldu,
2025-05-30 14:20:02,Dogus,like atın,
2025-05-30 14:20:09,Mustafa GÜNER,SESİ KENDI KAPATTI KAMERA CEVRILMIS DEMEK KI GOZUKMEMESI GEREKEN BI SEY AKIL EDEMIYONUZ MU,
2025-05-30 14:20:10,Muhamet ,35 k CD 5 tane var,
2025-05-30 14:20:13,İnformationForyou,Bence sorun falan yok beyler Endişelenmeyin halleder,
2025-05-30 14:20:17,Utku Atalay Yıldız,yav chate laf etmen herkes zeki olacak diye bi şey yok az sakin olun ahahahahha,
2025-05-30 14:20:17,orhanizm cemiyeti, Vergi Dairesinden ve ya Ticaret İl Müdürlüğünden gelmişler,
2025-05-30 14:20:18,Can,sesi kendi kapatti,
2025-05-30 14:20:22,MuhSiN Grl,abi dükkan nerde yarın gellecem,
2025-05-30 14:20:23,Ramazan Oğuz ESEN,TOMA GELDİ,
2025-05-30 14:20:25,Ocan Sarıca,Rahat olun Taner abi her şeyi kuralına göre yapıyor,
2025-05-30 14:20:28,Arda Küçük,tabela as diye uyarı geldi herhalde :D,
2025-05-30 14:20:36,samed svr,Yav,
2025-05-30 14:20:37,M. Efe Yücel,ses nerde,
2025-05-30 14:20:40,Can Ekim,SES YOK SEEEEESSS,
2025-05-30 14:20:41,Luckyhero,devlet memuru onlar kameraya çıkması sakıncalı zaten izin alınmalı amirlerden,
2025-05-30 14:20:45,Gerenimo Gr,söyleşi iptal,
2025-05-30 14:20:47,Kadir Pehlivan,ya beyler bayanlar dişim çok agrıyor evde ne yapabilirim ne iyi gelir,
2025-05-30 14:20:49,Melih Mercan,sürekli ve uzun vadeli olarak form doldurmak yasaktır ceza yicek,
2025-05-30 14:20:51,Sacid Burhan,"g923 satılık olan var mı varsa ilan numarası istiyorum lütfen, yanında viteste olursa sevinirim...",
2025-05-30 14:20:56,yusuf emre,ses yok,
2025-05-30 14:20:59,Ccy,Gitmez söyleşiye ,
2025-05-30 14:21:01,Muhamet ,satılık PlayStation 5 pro yanında 5 CD ve çift kol,
2025-05-30 14:21:02,Osman Kaan Özkan,maliye geldi oyüzden ses yok yazıp durmayın,
2025-05-30 14:21:03,Furkan Karaca,ne oldu yine,
2025-05-30 14:21:04,Burak Aydın,tamam da neden ses kapatılıyor ki ne alaka yanı,
2025-05-30 14:21:05,PlanetFuture,"like önemli, maliyede geldi para lazım . like, like, like. Beğen, beğen, beğen.",
2025-05-30 14:21:07,Emre Can Erdoğan,alakası yok luckyhero,
2025-05-30 14:21:08,Mrt,yorumlara bak 2 sn de siliniyo mübarek,
2025-05-30 14:21:08,Dogus,like ve abone olun abone sayısı. 500 k olsun çok emek var,
2025-05-30 14:21:09,AdemCan1,bakalım ne çıkacak,
2025-05-30 14:21:13,Yusuf Kayan,Maliyeden glemişler,
2025-05-30 14:21:14,Red Label,Birileri kıskanıp şikayet etmis belli,
2025-05-30 14:21:14,YusufK,ses yok,
2025-05-30 14:21:15,Can,geçen sene bu zamanlar başladı bu şirk işleri Taner abimi diz cöktürüp ters kelepçelemeyeceksiniz,
2025-05-30 14:21:19,Muro Tan,şu adamla uğraşmayın bitane videosunu izleyin gelmeye gerek bile kalmaz,
2025-05-30 14:21:19,hal9000,ortaz az gergin,
2025-05-30 14:21:19,Faruk Kocak,inşallah sorun yoktur. pasaklı tembel diye takılırız ama severiz tanerimizi,
2025-05-30 14:21:24,Seriesxtwitch,Xbox series x Microsoft wireless headset kulaklıkligi 9 nesil şarj kiti var alalı 30 gün satıyorum ilgilenen varsa,
2025-05-30 14:21:29,orhanizm cemiyeti,"nerde görsem tanırım bunlar vergi müfettişi değil, Ticaret Bakanlığı Müfettişleri",
2025-05-30 14:21:30,Gardropfuad,Pazarlık yapıyor,
2025-05-30 14:21:37,Emirhan,@Burak Aydın eğer müşteri istemiyorsa sesinin yayına gitmesini kapatmak zorunda ,
2025-05-30 14:21:39,Tilki,Maliye müfettişinin sesi neden yayına gitsin tabii kapatacak,
2025-05-30 14:21:40,Tamer,Gerildi reis,
2025-05-30 14:21:44,CG51,ses niye yok,
2025-05-30 14:21:45,Luckyhero,@Burak Aydın devlet memuru canlı yayın çekim ses alinmamali izinsiz,
2025-05-30 14:21:46,Memati Çakır,Maliye rutin kontrol,
2025-05-30 14:21:47,Furkan Karaca,hahaha,
2025-05-30 14:21:49,özgür can,mit gelmiş ,
2025-05-30 14:21:50,MONA PİZZA,pazarlık yaopıyo ,
2025-05-30 14:21:50,aemin,keyifler yerinde,
