datetime,author,message,superChat
2025-06-01 16:16:15,Ömür Kemal Avcı,taner abim bi tişört değişim saati gelmiş gibi saygılar reisim,
2025-06-01 16:16:16,Kutay Ç.,sakalı tara abi ya,
2025-06-01 16:16:16,Taner ALKOÇ,:yt:,
2025-06-01 16:16:17,KontrolSende,İyi pazarlar iyi yayınlar,
2025-06-01 16:16:20,umut,abi dükkan nerde,
2025-06-01 16:16:22,Murat Poyraz,rafı doldur abi,
2025-06-01 16:16:23,Ege Kayra Semercioğlu,abi PlayStation 5 cd li varmı kaça bırakırsın,
2025-06-01 16:16:24,umut,abi dükkan nerde,
2025-06-01 16:16:26,Tural Hamid,Abi ps4 pro var 2017 de aldım ve daha içini hiç açmadım içini açıp temizliyimmi,
2025-06-01 16:16:29,ramazan haşimi,ABİ BAŞLADIGIN İŞİ LÜTFEN YARIM BIRAKMA DÜZELLTTTT ORAYI,
2025-06-01 16:16:30,Mehmet ali,Abi xbox one s almayi dusunuyorum ne kadardir ,
2025-06-01 16:16:30,MrHanif,Abi bana oyun lazımda bugün gelelim mi?,
2025-06-01 16:16:30,Agit Akgün,abi nasılsın,
2025-06-01 16:16:31,Efsane Oyun TV,Bu gün niye erken kapatıyorsun abi.,
2025-06-01 16:16:31,Menesk Kurkut,abi su iç,
2025-06-01 16:16:32,eluvylss_,abi simay der misin,
2025-06-01 16:16:32,Mehmet Demir,Selam Taner Bey 01.06.2025 -16:17 ,
2025-06-01 16:16:32,Sezgin İz,Usta ps4 pro satarmısın destek garanti istemiyorum ,
2025-06-01 16:16:33,İsmail efe,abi kurba. kesecekmisin,
2025-06-01 16:16:33,Gökhan Y.,Abi izleyenlerin için değmez mi düzeltmeye :rolling_on_the_floor_laughing:,
2025-06-01 16:16:34,Muhammed Kalkan,Nakitin var mı koleksiyonumdan bazı ürünler getirecem ,
2025-06-01 16:16:35,Eren Yiğit,Abi Elinde Xbox CD varmı? eğer varsa almaya gelicem,
2025-06-01 16:16:35,Savas Yıldırım,Kars arpaçay dan selamlar hemşo,
2025-06-01 16:16:36,umut,abi dükkan nerde,
2025-06-01 16:16:37,Yağızhan Yiğit,abi çizik oyun almak istiyorum kutulu sende var mı acaba ( oda diziyorum da ),
2025-06-01 16:16:37,Seymen Can,selamlar,
2025-06-01 16:16:40,Serdar Ulkeroglu,Abi ps5 slim mi yoksa ps5 normal mi performans farkı var mı aralarında ,
2025-06-01 16:16:40,Wisteria Edits,abim açık arttırma işine ne zaman gireceksin çok tutacak bencess,
2025-06-01 16:16:43,Mehmet,cizik CD leri mezat yapsan abi,
2025-06-01 16:16:47,cengizhan çelik,sen böyle mutluysan gerisi önemsiz kral. kişiliğin için geliyoruz,
2025-06-01 16:16:49,Funnyanimal,CD leri hallet lütfen,
2025-06-01 16:16:52,opportunity,sana 3 gün veriyorum abi 3 gün içinde sinek kaydı görelim seni ,
2025-06-01 16:16:54,Turan TUGAY,Çin’e ne zaman gidiyoruz beraber ,
2025-06-01 16:16:54,Enes Kıvanç,abi merhaba ps5 e param yetmiyoır ps4 alsam sorun yaşarmıyım yoksa para biriktirip 5 mi alsam :red_heart: ,
2025-06-01 16:16:55,Rahmi Gürz,dünkü z raporu nekadar di taner abi..,
2025-06-01 16:16:56,Ali Osman,"Tertemiz ps4 Pro dijital hesapta fc 25, gta 5, warfare,cod 5 var cd olarak rdr 2 fifa 19 var 2 kol biri çakma ne kadara gider",
2025-06-01 16:16:56,ziver demir,dedorat kullan,
2025-06-01 16:16:56,Yasintoteles,ABİ MERAK ETTİM BİR FİLM VEYA DİZİ TEKLİFİ GELSE DEĞERLENDİRİR MİSİN MESELA DÜKKANINDA BİR ÇEKİM OLSA ,
2025-06-01 16:16:56,Ege Kayra Semercioğlu,abi PlayStation 5 cd li varmı kaça bırakırsın,
2025-06-01 16:16:57,Muzdaviyuviyu,abi selamlar çizik cdler büyük sorun olmadığı sürece çalşımaz mı,
2025-06-01 16:16:59,umut,abi -18 neden almıyon seni ziyarete gelcektim,
2025-06-01 16:17:01,Ömür Kemal Avcı,abi tişörtt,
2025-06-01 16:17:05,Yunus,bugün dükkan sakin gibi,
2025-06-01 16:17:07,Emre Tantaş,Ps 5 fc 24 fiyat ne verirsiniz ,
2025-06-01 16:17:07,Hüseyin Ayçiçek,Abi PS 5 varmı,
2025-06-01 16:17:07,boray çakar,Taner abi cevaplarsan sevinirim ps5 yurtiçi ve yurtdışı alımda ne gibi bir fark var yurtdışı almayı planlıyorum yakın zamanda,
2025-06-01 16:17:07,Agit Akgün,abi nasılsın,
2025-06-01 16:17:08,umut,abi -18 neden almıyon seni ziyarete gelcektim,
2025-06-01 16:17:10,Miraç Girit,engellilere indirim var mı,
2025-06-01 16:17:12,Battal Coşkunpınar,abi PS3 oyunları ps4 de çalışıyormu,
2025-06-01 16:17:12,BekOnline,sa,
2025-06-01 16:17:13,FATIH ISIK,"hocam yakın zamanda arkadaşım japonya, ya gidecek ordan ps5 pro getirtsem olurmu",
2025-06-01 16:17:16,Yağızhan Yiğit,abi çizik oyun almak istiyorum kutulu sende var mı acaba ( oda diziyorum da ),
2025-06-01 16:17:17,TeKoNT,abi tsirt degişiklik vakti geldi gibi,
2025-06-01 16:17:17,Faruk Kocak,kötü komşuyu yeterince deneyimledin sen de,
