datetime,author,message,superChat
2025-06-05 16:01:34,AYKUT ÖVET,çift kollu temiz ps5 alabilirim,
2025-06-05 16:01:37,kop,ABİ DUKKANDA KLIMA VARMI=,
2025-06-05 16:01:39,Kayahan Kaya,TANER ABİ GAMER OLSANA SDŞLFHSDOFHSDF,
2025-06-05 16:01:51,İsmail Karadağ,hediye yı âç abi (YOĞUN) İSTEK,
2025-06-05 16:01:58,Yusuf İsa Çakıroğlu,abi kaç mm lens kullanıyorsun söylermisin rica etsem,
2025-06-05 16:01:58,Furkan Esen,bulodböğrnn değil bıladborn,
2025-06-05 16:02:02,Mikail Canlı,Pek müşteri yok heralde,
2025-06-05 16:02:05,Rüzgar Güler,abi ps indirimlerini bakman çok eğlenceliydi yine yapar mısın,
2025-06-05 16:02:05,XREYDLE,sen dükkanda nabıyon yasak olmayan,
2025-06-05 16:02:07,Buğramollax,@Scrapmaker 400,
2025-06-05 16:02:09,Berke CAN V1,arkada dishonored var abi,
2025-06-05 16:02:10,Mazlum Oğuz,pes5 var mı abi elinde fiyat nedir ?,
2025-06-05 16:02:17,emir Can,Cd ye sıktığın şey ne ani,
2025-06-05 16:02:19,Snojkopo7,?,
2025-06-05 16:02:19,Okan Türkmen ,"Abi bir günü sağlam cihaz seçmeye ayıralım, hem gelen müşteri beklememis olur hemde senin işin hızlanır",
2025-06-05 16:02:23,Lore Peyniri,abi pantolonla silme şu cdleri be,
2025-06-05 16:02:23,İsmail Karadağ,hediye yı aç abi (YOĞUN İSTEK),
2025-06-05 16:02:30,♕Baran,rocket league oynayan varmı?,
2025-06-05 16:02:31,Rynx,kolay gelsin,
2025-06-05 16:02:30,Emirhan ,Abi 2. El xbox series s var mı ,
2025-06-05 16:02:35,Yusuf İsa Çakıroğlu,abi kaç mm lens kullanıyorsun söylermisin acaba,
2025-06-05 16:02:35,Murat Capraz,Welcome New Member!,
2025-06-05 16:02:35,Musa KIZIL,kantır strayk,
2025-06-05 16:02:36,61Veysel61,Mindseye alinirmi Abi ,
2025-06-05 16:02:39,Nis2004,abi istediğin gibi söyle ,
2025-06-05 16:02:39,Buğramollax,ratchet Clank satıyorum horizon Zero Dawn satıyorum,
2025-06-05 16:02:40,stace,"Xbox one,kinect ve oyun cdlleri alırmısın abi",
2025-06-05 16:02:40,Berke CAN V1,arkada dishonored var abi,
2025-06-05 16:02:40,XREYDLE,emirhan bende var,
2025-06-05 16:02:40,veintra,selam aleyküm kolay gelsin abi arefi günü,
2025-06-05 16:02:41,Melih Ozbay,abi sakal yakışmış böyle daha iyi,
