datetime,author,message,superChat
2025-05-29 17:51:33,DATA AKTARİM PC,@kano tesekkür ederim,
2025-05-29 17:51:33,Ruzgar Enerjisi,yayına çıkmak için izmirden İstanbula gelmek :smiling_face:,
2025-05-29 17:51:37,Gece mavisi,biraz önce 500 esattın,
2025-05-29 17:51:40,RZZA161,Yok,
2025-05-29 17:51:43,アタカン,servarları mı kaldı o oyunun,
2025-05-29 17:51:44,v4kk,2k16 online kapandı 2-3 sene once,
2025-05-29 17:51:44,Kaan Recin,var,
2025-05-29 17:51:46,og,yok,
2025-05-29 17:51:46,passico higo,@Fatih Tuna bilgilendirme için saol,
2025-05-29 17:51:46,Musaio,yok,
2025-05-29 17:51:46,Tahacan Cıdıroğlu,yok,
2025-05-29 17:51:47,Oğulcan Erdem,yok,
2025-05-29 17:51:49,Asim Bey,ekran çok parlak patlıyor,
2025-05-29 17:51:50,Kerem Şenyüz,Yok,
2025-05-29 17:51:53,BekOnline,serverları kapandı onların,
2025-05-29 17:51:53,fatih albayrak,200 mavili unuttu,
2025-05-29 17:51:53,BOM_O_CLA0T43, PS 5 THE LAST OF US PART II (ÇİZİKSİZ ve SAĞLAM KUTULU) ne kadara satarım abi,
2025-05-29 17:51:54,Barış Çuvalcı,yok,
2025-05-29 17:51:55,said,Yok,
2025-05-29 17:51:55,Sedat Samsum,Yok,
2025-05-29 17:51:55,Mustafa Şebap,ps5 pro 2 kol ps5 kulaklığı kaça gider 17 ay garantili beyler bı fikir verin,
2025-05-29 17:51:55,Kaan,Yok,
2025-05-29 17:51:57,Wraith Fox,yok,
2025-05-29 17:51:57,DorukPro,yok,
2025-05-29 17:51:57,@Mirza,Yok,
2025-05-29 17:51:58,Revengenes,yok,
2025-05-29 17:52:01,Onur Keskin,yok,
2025-05-29 17:52:02,WinSmith,yok abi,
2025-05-29 17:52:02,Lezzetli Çipetpet,yok,
2025-05-29 17:52:05,Emir,Var,
2025-05-29 17:52:06,Creative touch,yok,
2025-05-29 17:52:06,Alperen K,serverları kapandı,
2025-05-29 17:52:10,Alperen Ay,kariyer oyna zTen,
2025-05-29 17:52:10,utku sancar,yok,
2025-05-29 17:52:11,Gaddar_Sehmuz,var var,
2025-05-29 17:52:24,Fatih Tuna,Dualsense egde satılık ps5 koll,
2025-05-29 17:52:26,sensizim,p2win yok,
2025-05-29 17:52:28,DOĞUKA- N,var ,
2025-05-29 17:52:32,YUNUS,Sen seversin abi,
2025-05-29 17:52:34,Exelans Görsoy,ps 4 2017 2018 2019 elinde varmı abi,
2025-05-29 17:52:34,ADOSHI,nakitim yok atm ye gidip geliyorum,
2025-05-29 17:52:37,Drop D,sıcak para,
2025-05-29 17:52:41,passico higo,1200 vardi orda,
2025-05-29 17:52:44,Emre ,@fatihtuna kac lira,
2025-05-29 17:52:44,meltem,cash,
2025-05-29 17:52:48,Kaan Aytan,800 yapaydin cocuga,
2025-05-29 17:52:50,Ztarex,1200 yok muydu ya :grinning_face: ,
2025-05-29 17:52:53,Gaddar_Sehmuz,4 bin liraya bileg fileg ariyorum abi,
2025-05-29 17:52:56,Mrtx,Yayında mısın kardeş ,
2025-05-29 17:52:59,Fatih Tuna,@Emre 5500,
2025-05-29 17:52:59,Kerem Şenyüz,Chat velet dolu,
2025-05-29 17:53:00,Mehmetcan,var,
2025-05-29 17:53:04,Zexzor Hefley,800 yapaydın,
2025-05-29 17:53:10,SoulPower77,KEK VER ,
2025-05-29 17:53:11,adNan,:_geber::_geber::_geber::_geber:,
2025-05-29 17:53:14,Serhat ,ben 1200 saydım,
2025-05-29 17:53:19,BekOnline,1200 var orda,
2025-05-29 17:53:21,orkun korkut,1000saydi nerenizle izliyonuz veledler,
2025-05-29 17:53:22,meltem,kolonya+kek,
2025-05-29 17:53:23,volkan,Abi maşallah dükkanın her yerinde para var ,
2025-05-29 17:53:24,Utku Mustafa Ercan,modern warfare 1 2 3 varmı? elinde,
2025-05-29 17:53:26,Yasin ERTUNE,nakit verdi zaten 800 e ver,
2025-05-29 17:53:26,DarthFourier,paralar kutuların içinde altlara kadar kaçtı :D,
2025-05-29 17:53:27,Bu This is,:_geber::_geber::_geber::_geber:,
2025-05-29 17:53:28,passico higo,taner abi 1200 var orda,
2025-05-29 17:53:28,v4kk,1200 aldın agabey,
2025-05-29 17:53:29,Seçkin Asal,Abi ah senin şu arşiv :)),
2025-05-29 17:53:29,Emre ,@fatihtuna cok iyi fiyatmiş ya yanlış zamanda gelen haber üzüldüm,
2025-05-29 17:53:32,Drop D,paralar bile dağınık:face-blue-smiling:,
2025-05-29 17:53:33,batumau5,bu adamın neden kasası yok,
2025-05-29 17:53:35,SachaBoy,1200 vardı la ,
2025-05-29 17:53:36,Thorfsar,5 dk sonra epice bedava oyun geliyorr,
2025-05-29 17:53:38,YUNUS,Abi sende birlere koy paranı kasaya falan koy,
2025-05-29 17:53:41,Lynex36,1200 var,
2025-05-29 17:53:43,Bedirhan,tanerim slmlar saygılar,
2025-05-29 17:53:44,SoulPower77,KOLONYA VE KEK GELSİN,
