datetime,author,message,superChat
2025-05-31 15:45:09,Sefa KAYGISIZ,gelemeyiz işimiz var :D,
2025-05-31 15:45:09,Black Eagle,kraaal,
2025-05-31 15:45:10,emirdoganart,gelemeyiz işimiz var,
2025-05-31 15:45:11,ilkim etem,bazen icinden geliyor yuz tl fazla veriyor :))) demin paraya kiyamiyor diyenlere kapak olsum,
2025-05-31 15:45:13,Sawjix,isimiz var YKEYKWTJWTJWT,
2025-05-31 15:45:14,Kaan Nurlu,:D,
2025-05-31 15:45:14,Yasoex ,özgüvenli çocuk her zaman avantajlıdır,
2025-05-31 15:45:16,Lorex,:D,
2025-05-31 15:45:17,ferhat yıldırım,4,
2025-05-31 15:45:18,Furkan Benim Ulan,kıramadı kral,
2025-05-31 15:45:21,Pusat,aferin çocuk,
2025-05-31 15:45:24,Asztek,:DD,
2025-05-31 15:45:26,GTX,gelemeyizzz,
2025-05-31 15:45:29,Sefa KAYGISIZ,full friii,
2025-05-31 15:45:30,Mehmet Akif Özyılmaz,lan bu adam iyi biri,
2025-05-31 15:45:35,Hasan Aksakal,:face-blue-smiling:,
2025-05-31 15:45:36,EkoBros,"Wir sind der Halbmond und Stern mitten in der deutschen Flagge,immer noch Ausländer mrk ich bin deutsch kanake boxerschnitt Übergang sitzen im mercedes Benz sie machen Auge weil die Kette und die roli",
2025-05-31 15:45:41,IAresArda,işimiz var (cips yicez),
2025-05-31 15:45:43,Cnr,Ya bi rahat bırakın müşterisi var adamın fotoğraf çekilseniz ne olacak cekilmezseniz,
2025-05-31 15:46:00,Sefa KAYGISIZ,:D,
2025-05-31 15:46:01,Ture,Abla kapıyı kitledi KRAL HAREKET,
2025-05-31 15:46:02,Jimmy ,:body-green-covering-eyes:,
2025-05-31 15:46:08,Erhan 01,fc24 var,
2025-05-31 15:46:13,D.i,ya bilader önce elindeki işi bitir daldan dala atliyorsun,
2025-05-31 15:46:17,harezmi,işimiz var (Annem banyo yaptıracak),
2025-05-31 15:46:29,Emir Karcı,ps 4 e oyun alırken dijitalden oyun paketi tam sürüm oyun aynı şeymi,
2025-05-31 15:46:30,Ahmet Can Gök,Eyvallah abi kral adamsın,
2025-05-31 15:46:32,Sefa KAYGISIZ,teşekkür bizden,
2025-05-31 15:46:34,Eaglaris,vayy beşiktaşlı kralll,
2025-05-31 15:46:39,emre arslan,KRAL ,
2025-05-31 15:46:45,some respect,o zaman gidin :d,
2025-05-31 15:46:48,azim kara,sa,
2025-05-31 15:47:05,Muhammet Mızrak,arkadaki abi az kaldı bunalıma giricek,
2025-05-31 15:47:19,madenci,aga bu adam 20 yıllık esnaf nasıl oluyorda hala peugeot 206 1998 de çıkmış bir arabaya biniyor? en kötü Ford Focus falan binmesi normaldir,
2025-05-31 15:47:27,Ozan Dede,Bu çocuk hala orda,
2025-05-31 15:47:44,EAGLE 5,Selamlar,
2025-05-31 15:47:44,KEREM Özdağ,Taner abi ps5 satıyomu,
2025-05-31 15:47:44,Sefa KAYGISIZ,@madenci alaka ?,
2025-05-31 15:47:48,Mertcan Ateş,çalışmayan pspleri neden alıyor ki,
2025-05-31 15:47:53,Black Eagle,hitman sağlam oyun,
2025-05-31 15:48:03,some respect,@madenci parayla imanın kimde olduğu belli olmaz,
2025-05-31 15:48:09,X-TRoy,abi dükkan nerde,
2025-05-31 15:48:09,efe ışık,yayın güzel sorun yok ,
2025-05-31 15:48:12,Mahmut Talha ERFİDAN,yayın okey abi kafan raat olsun,
2025-05-31 15:48:12,ilkim etem,@kerem ozdag yok satmiyor dostum,
2025-05-31 15:48:12,Furkan Benim Ulan,sorun yok kral,
2025-05-31 15:48:20,don krakula,@madenci ne alaka,
2025-05-31 15:48:31,Meteorx,4,
2025-05-31 15:48:35,Muhammed Yılmaz,,TRY 4.99
2025-05-31 15:48:46,Buğra?,cokkk,
2025-05-31 15:48:48,X-TRoy,beyler dükkanın nerde olduğunu bilen yok mu,
2025-05-31 15:48:50,EAGLE 5,Üyelik atçak babayiğit,
2025-05-31 15:49:03,alperen ekinci,sıfırı 1900 la nasıl 2.5,
2025-05-31 15:49:05,Cnr,20 gün sonra tyt sinavim var burda canli yayim izliyom,
2025-05-31 15:49:10,Sefa KAYGISIZ,@madenci alaka ?,
2025-05-31 15:49:14,Necati Efe Özcan ,Ö,
2025-05-31 15:49:21,Fatih Paydaş,tlou2 o kadar pahalı değildi ya,
2025-05-31 15:49:26,ilkim etem,black ops 6 cok iyi ..zombi modu saglamdi,
2025-05-31 15:49:29,Dost Kayaoğul,sıfırı 2.5 ikinci eli 2000 ne güzel dünya,
2025-05-31 15:49:29,Witcher53,vay be kanka,
2025-05-31 15:49:34,Aga Be ,4k oyun icin istenilmi :grinning_face:,
2025-05-31 15:49:38,Gandalf The White,seneye de girersin rahat ol @Cnr :grinning_face: ,
2025-05-31 15:49:40,EAGLE 5,Üyelik atın nolur,
2025-05-31 15:49:45,Furkan Benim Ulan,@alperen ekinci sürüm farkı var,
2025-05-31 15:49:47,Ruzgar Enerjisi,oki dokiii :slightly_smiling_face:,
2025-05-31 15:49:51,X-TRoy,beyler dükkan nerde lütfe n söyleyin,
2025-05-31 15:49:51,OSMAN BALKAYA,700 + selfie oki doki ,
2025-05-31 15:49:53,furkan1208,online da oyun 1000 tl tuhaf,
2025-05-31 15:49:56,IAresArda,@Dost Kayaoğul adam belki aldı hiç kullanmadan satıyor ön yargılı olmamak lazım,
2025-05-31 15:50:05,alperen ekinci,@Furkan Benim Ulan nasıl yani,
2025-05-31 15:50:09,Sefa KAYGISIZ,babayı da alalım :D,
2025-05-31 15:50:10,süleymarda celik,800+selfie,
2025-05-31 15:50:10,ilkim etem,x troy bakirkoy carsida dostum,
2025-05-31 15:50:15,Orçun Baran Hançer,herkese fazla fazla vermeye başladı kral,
2025-05-31 15:50:27,İbrahim,800+selfie+kolonya oki doki,
2025-05-31 15:50:28,X-TRoy,tesekkürler ilkim etem,
2025-05-31 15:50:29,Osman Aras Yeşilkaya,iyi yayınlar ,
2025-05-31 15:50:43,emirdoganart,o arkadaki napio kamerada da görünmüyo,
2025-05-31 15:50:43,Guti Hernandez,Goat bu adam,
2025-05-31 15:50:48,Samet Bey,Pes 2021 fiyatı nedir,
2025-05-31 15:50:49,Sefa KAYGISIZ,:D,
2025-05-31 15:50:56,Osman Aras Yeşilkaya,oki dok,
2025-05-31 15:50:56,Sefa KAYGISIZ,GOAT,
2025-05-31 15:50:59,Furkaan,Ya ne yordun be,
2025-05-31 15:51:00,Sefa KAYGISIZ,:D,
2025-05-31 15:51:04,Benjamin Linus,":red_circle: Beğeninizi göstermek için bir Like yeter! Küçük bir dokunuş, büyük bir destek! :thumbs_up::video_game:",
2025-05-31 15:51:15,ilkim etem,X troy cok rahat bulursun..herkes taniyor taner abiyi bakirkoyde..kime sorsan dukkanin yerini sana gosterir :),
2025-05-31 15:51:23,Armanj,Öe,
2025-05-31 15:51:27,Melih Belci,adamlar kimlik gosterim diyor sol tarafa alim yaptı :D,
2025-05-31 15:51:30,Ege Erçetin,bunlar 18den küçük ,
2025-05-31 15:51:31,Furkaan,oki doki,
2025-05-31 15:51:32,GY Eymen,ps5 pro mu slim mi aradaki fiyat farkına değer mi cevap verirseniz sevinirim ,
2025-05-31 15:51:42,21Husayn,gördük zaten ,
2025-05-31 15:51:53,Bu This is,vvggh,
2025-05-31 15:51:59,Armanj,Oki doki ,
2025-05-31 15:52:01,ozan ayman,saniyede 1000 kelime üretiyo 1000 de aynı,
2025-05-31 15:52:06,Nelo2s,@Melih Belci kimlik bakma hakkı yok öyle bir isteği de yok karşı taraf dese bile bakmıyor etik olarak onun işi değil şu toxic basit insan yorumlarınızı kendinize saklayın artık,
2025-05-31 15:52:06,heisenberg,abi çizik alma,
2025-05-31 15:52:12,Sefa KAYGISIZ,200 okey miyiz :D,
2025-05-31 15:52:14,Mertcan Ateş,oki doki,
2025-05-31 15:52:24,Ege Erçetin,abi kiimlik göstermek için zorlamadığın sürece göstermek isteyenin kimliğine bakabilirsin,
2025-05-31 15:52:28,seymen,kimliğe niye bakmıyor abi çok saçma bak işte 18 büyükse al bu kadar basit suç falan değil kimliğe bakmak bir tekele girdiğinde küçük duruyorsan adam alkol sigara vermeden önce kimlik soruyor ,
2025-05-31 15:52:30,Gandalf The White,çiziği kameradan bile gözüküyor keşke almasaydın,
