datetime,author,message,superChat
2025-05-29 16:11:06,The Sidar ,çocuklq ilgilensene napıyosun,
2025-05-29 16:11:10,gökhan,gizemli takılıyor,
2025-05-29 16:11:15,BurhanTașçı,gönder gitsin,
2025-05-29 16:11:18,Hamit Mert Çetinkaya,Beyler müşterilere toxiclik yapmayın,
2025-05-29 16:11:20,Abdullah skarya,İlan no atsın abi:hand-pink-waving::hand-pink-waving:,
2025-05-29 16:11:22,Lionel Tolunay,çocuk bekliyo looo,
2025-05-29 16:11:25,Baran Kaya,:hand-pink-waving::hand-pink-waving:,
2025-05-29 16:11:27,Hasann,bence şuan ps5 alınabilir GTA 6 destekleyeceği için oda,
2025-05-29 16:11:28,gökhan,çocuk 18den küçük dostlar uyaralım,
2025-05-29 16:11:29,Beytu,ilan no versin abi,
2025-05-29 16:11:31,BurhanTașçı,gönder bunu bu adam kolpa,
2025-05-29 16:11:35,Jimmy ,Alma gönder,
2025-05-29 16:11:37,IB,Kücük adam sabiraizlaniyor ,
2025-05-29 16:11:42,Snojkopo7,abi hiç sakalında gözleme kaldı mı ?,
2025-05-29 16:11:44,Sevchenko Valesquez,@Yusuf Özsoy asker polis de geliyor kardeşim boş konuşma chatte,
2025-05-29 16:11:47,Yusuf Özsoy,malı verde hırsız gitsin,
2025-05-29 16:11:50,ATILLA- CEVHER,arkadaş biraz sıkıntılı galiba ...!!,
2025-05-29 16:11:53,Baran Kaya,:face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes:,
2025-05-29 16:11:54,Abdullah skarya,İlan noooo versin dayı,
2025-05-29 16:11:57,Yasin A.,@oğuzhan sağol. dijital sürüm mü Cd sürüm mü peki?,
2025-05-29 16:12:08,Asteria,sa,
2025-05-29 16:12:18,exa,abi sende nba oyunu varmı,
2025-05-29 16:12:19,Neeeee,,€1.19
2025-05-29 16:12:18,orhun,battlefield v 279 tl psnde,
2025-05-29 16:12:19,Yusuf Özsoy,polis olsun asker olsun ne fark eder sen boş yapma arkadaş,
2025-05-29 16:12:20,Savierefootball,Kral o çocuk almadan çıkarmı,
2025-05-29 16:12:21,Kürşat Aşkın,kral 2000 ver çocuğa destek ol,
2025-05-29 16:12:25,Mete ,SA,
2025-05-29 16:12:26,FlightOfDeath,Anne yayindaysan el salla:waving_hand:,
2025-05-29 16:12:28,gökhan,küçük geldş kamera kapattt,
2025-05-29 16:12:28,Snojkopo7,as,
2025-05-29 16:12:39,gökhan,küçük geldi uyaralım !!!,
