datetime,author,message,superChat
2025-05-29 17:53:52,Halley Shines,1200 verdi,
2025-05-29 17:53:53,emre yürekli,200 tl unutan bir arkadaş oldu,
2025-05-29 17:53:59,Ali İhsan ,Abı cızık veya satılmayan cdlerı ınternetten falan satsan ıyı olur,
2025-05-29 17:54:00,CaptainNhx,okki dokki,
2025-05-29 17:54:00,volkan,Abi paraları kaybetme lazım ,
2025-05-29 17:54:00,Gaddar_Sehmuz,abi cizik bileg fileg varmi??,
2025-05-29 17:54:02,BOM_O_CLA0T43, PS 5 THE LAST OF US PART II (ÇİZİKSİZ ve SAĞLAM KUTULU) ne kadara satarım abi,
2025-05-29 17:54:02,shiynex,kolay gelsin 2. el ps 5 için uygun fiyat nedir ,
2025-05-29 17:54:03,Yapay Donanım,1200 saydım ben de,
2025-05-29 17:54:04,Fatih Tuna,@Emre sahibinden numarasını atayım bak,
2025-05-29 17:54:07,Arda,1200 vardı abi,
2025-05-29 17:54:08,Emirhan Özdemir ,2 saat oldu,
2025-05-29 17:54:08,v4kk,abi cocugu gondermeyeydın 1200 var,
2025-05-29 17:54:09,fatih albayrak,abi 200 mavili unuttu,
2025-05-29 17:54:09,Mikayil Adil,kiz abi devam ,
2025-05-29 17:54:10,ArThUrWD,1200 verdi çocuk,
2025-05-29 17:54:10,tegron,1200,
2025-05-29 17:54:11,Enes Üntez,abi şimdi müşteri gelcek yine kalacak o masa 1 haftadır CD ler açık duruyo orda çizildi,
2025-05-29 17:54:11,Burak Akar,1200 aldın,
2025-05-29 17:54:12,Mustafa Alkan,önüne gelen esnaf oluyor işte,
2025-05-29 17:54:13,Sam,kapatma yayını abi,
2025-05-29 17:54:14,Yusuf Özsoy,geç açtığın için az,
2025-05-29 17:54:14,Mustafa Bayram,abi nba kaç var elinde,
2025-05-29 17:54:17,BekOnline,1200 verdi reis çocuk,
2025-05-29 17:54:17,kano,:red_circle::bell: Beğeni butonuna basarak bize destek olabilirsiniz! Keyifli seyirler dileriz!:video_game::joystick:,
2025-05-29 17:54:23,meltem,abi geçen rekor kırıp 130bin izlendin fewlmgoegmewşg,
2025-05-29 17:54:23,Lütfullah Bayındır,bu adama bi pararları koymak için kasa bide poşet alalım lan ,
2025-05-29 17:54:23,DK CR,Abi poşet çıkartsan keşke daha pratik olur senin için,
2025-05-29 17:54:25,Halley Shines,1200 verdi abi,
2025-05-29 17:54:28,Kadir,Taner abi selamlar elimde temiz deadpool ps4 oyunu var bunu sana getirsem ne kadar satın alırsın?,
2025-05-29 17:54:29,Nelson Mandela,1200 verdi,
2025-05-29 17:54:31,BLACK BULL,abi fazla para aldın,
2025-05-29 17:54:30,KuNro,hype tuşu ne,
2025-05-29 17:54:32,Serhat ,abi 1200 saydın orada ,
2025-05-29 17:54:33,Umut Urel,1000 arkadaslar yavaslatip izleyin,
