datetime,author,message,superChat
2025-06-05 15:35:27,melisa nur bingöl,@kano genel yorum yaptım şuana özel bir şey değil kaöçtır oluyor kısa randomlar attığım için time out yiyorum çoğu mod işini kötüye kullanıyor,
2025-06-05 15:35:36,OYUN ERBABI,çay -igara böreği,
2025-06-05 15:35:42,egeberatm,fifa 19 fiyatını bilen var mı ??,
2025-06-05 15:35:45,Kayra Karaoğlu,abi bayramda açıkmısın,
2025-06-05 15:35:49,Salih Efe Çetin,PS4 satan var mı yayından,
2025-06-05 15:35:53,Alican Oztuna,Trolluk yapmaya gelmisler gibi,
2025-06-05 15:36:00,artjeisu,şimdi farkettim sakalları düzenlemişsin sonunda harika olmuş,
2025-06-05 15:36:01,Seçkin Asal,5 sene sonra mezata gelebilirsiniz alırsınız,
2025-06-05 15:36:02,Dogus,online satış yapsan müq olur,
2025-06-05 15:36:03,MUSTAFA AYDIN,Abi bi de fotoğraf çekimebilirmiyiz ? Arkasından anlamsız sorular :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,
2025-06-05 15:36:07,Onur,@kano mobilden yayını izliyorum yani caps açık değil idi ,
2025-06-05 15:36:07,Kaan Özer,Cevaplara bak yaa :grinning_squinting_face:,
2025-06-05 15:36:14,Deniz Akat,sakallar iyiolmus,
2025-06-05 15:36:15,Belegen,:teacup_without_handle::cigarette:,
2025-06-05 15:36:20,Mustafa Sal,Neden çizik oyun istiyor,
2025-06-05 15:36:21,Hanife,çizik oyunumuz hediye gelmisti ama çalışmadı:face-purple-crying:,
2025-06-05 15:36:24,egeberatm,fifa 19 fiyatını bilen var mı ??,
2025-06-05 15:36:36,Dogus,trendyoldan dükkan açsak çok mu komisyon kesiyor,
2025-06-05 15:36:41,AHMET CAN ÇUFADAR,Çizik bahane yayına gelmek için ,
2025-06-05 15:36:48,Alican Oztuna,Hediye mi bekledi acaba,
2025-06-05 15:36:58,egeberatm,fifa 19 fiyatını bilen var mı ??,
2025-06-05 15:37:01,Ibrahim,PS4 oyun kaç lira chat ikinci el cd ,
2025-06-05 15:37:05,TUĞRUL ÇARKLAR,az ye abi,
2025-06-05 15:37:07,Onur D,sa,
2025-06-05 15:37:08,Lryxr1905,Abi uncharted Nathan drake collection var mı,
2025-06-05 15:37:07,Kayra Karaoğlu,abi bayramda açıkmısın,
2025-06-05 15:37:10,Eren Y.,Taner abi şu arkada ki skyrimi düzeltir misin alt rafta :),
2025-06-05 15:37:20,ism4il,5 erken ya kapatma:person-turqouise-waving:,
2025-06-05 15:37:20,Asil Poyraz,@Dogus iade konusunda çok sıkıntı çıkıyor sorgusuz sualsiz bazen iade yapabiliyorlar mağdur sen oluyorsun,
2025-06-05 15:37:25,4lp,beyler ps4 kırmak mantıklımı,
2025-06-05 15:37:34,YorumDoz,Abi çikolata için bayramı mı bekledin ya,
2025-06-05 15:37:36,jokemoke241,Taner Abim yanlış anlama ama biraz göbek yapmışsın :rolling_on_the_floor_laughing: bendede var,
2025-06-05 15:37:36,egeberatm,fifa 19 fiyatını bilen var mı ??,
2025-06-05 15:37:40,zafer varhan,abi cikilotaalari gomuyorsun gozleme yasak diyetteyim diyorsun... gelsin kilolar :D,
2025-06-05 15:37:50,Lryxr1905,Abi uncharted Nathan drake collection var mı,
2025-06-05 15:38:00,Wyeth __,abi sence fc25 mi yoksa god of war mi daha iyi ?,
2025-06-05 15:38:08,Asil Poyraz,@jokemoke241 geçen seneki videolara baktım aşırı zayıfmış bi 10 kilo almış bence,
2025-06-05 15:38:12,kano,@zafer varhan :),
2025-06-05 15:38:14,Kerem,WİTCHER 4,
2025-06-05 15:38:15,egeberatm,fifa 19 fiyatını bilen var mı ??,
2025-06-05 15:38:16,Alican Oztuna,Arkadaki elemana sinirli mi? Neyyy dedi :),
2025-06-05 15:38:25,Dogus,cihaz sat abi bayram öncesi,
2025-06-05 15:38:29,Onur,Chat benjamin olunca be yazıp yzamayacağımızı şaşırıyoruz dün adamları bekletme abi dedim diye timeout şu arkadaşı biri uyarsın artık lütfen sanki bile isteyerek yapıyormuş gibi gelmeye başladı artık,
2025-06-05 15:38:30,LIGHTOFGOD,buradan soruyorsunuz da adam chate bakıp cevaplamıyor ki :D,
2025-06-05 15:38:34,Lryxr1905,Abi uncharted Nathan drake collection var mı,
2025-06-05 15:38:38,Umut,Cihazları alırken test yaptığın zaman komple bir test yapmış olsan abi aslında tekrar tekrar test etmene gerek kalmaz ,
2025-06-05 15:38:38,4lp,beyler ps4 kırdırmak mantıklımı,
2025-06-05 15:38:49,Orhan YILDIZ,alırken 6 ya alıyon proyu nasıl 10 binden aşa vermiyon agaw,
2025-06-05 15:38:50,Ömür ARSLAN,BAYRAMDA AÇİK MİSINIZ? KENA VE RAGNAROK VAR Mİ?,
2025-06-05 15:38:52,Mustafa Can,Dün 60 bin Tele oyunleri aldinmi:face_with_raised_eyebrow:Abi:face_with_raised_eyebrow:,
2025-06-05 15:38:53,Alper Bahadır,fan sesi vardı,
2025-06-05 15:38:54,Asil Poyraz,@Onur birkaç kez dediysen aynı cümleyi oto atılıyor,
2025-06-05 15:38:57,Juky's Channel,fan,
2025-06-05 15:38:59,Kadir,fan sesi vardı abi,
2025-06-05 15:38:59,Enesdvc,başlatılmıyodu,
2025-06-05 15:39:01,Turhan Emir,fan,
2025-06-05 15:39:02,Emiralp Eraslan,ses vardı sanki,
2025-06-05 15:39:03,Talha Bilal,fan,
2025-06-05 15:39:04,Burak Kaplan,fan sesi vardı,
2025-06-05 15:39:05,Eren Y.,fan sesi vardı,
2025-06-05 15:39:06,egeberatm,fifa 19 fiyatını bilen var mı ??,
2025-06-05 15:39:07,Lryxr1905,Abi uncharted Nathan drake collection var mı,
2025-06-05 15:39:09,AHMET CAN ÇUFADAR,Birine söz verdin için koydun ,
2025-06-05 15:39:12,Jayden,fan galiba,
2025-06-05 15:39:14,Absentf,birine satacaktın abi onu,
2025-06-05 15:39:15,Arda Küçük,fan sesi vardı,
2025-06-05 15:39:16,jokemoke241,@Asil Poyraz aynen :hundred_points::hundred_points::hundred_points:,
2025-06-05 15:39:16,zafer varhan,abi elektrik supurgesi gibi calisiyor,
2025-06-05 15:39:16,Asil Poyraz,Fan sesi,
2025-06-05 15:39:22,bb17,Fan sesi vardı,
2025-06-05 15:39:33,4lp,beyler ps4 kırdırmak mantıklımı,
2025-06-05 15:39:33,Pxtv1,Bomba cihaz galiba ,
2025-06-05 15:39:35,EneS,"baya geliyor, rahatsız edici",
2025-06-05 15:39:36,Adem Gunes,Hastayim 3 alion 10 a satiyon diyenleri mekanin gideri kirasi hic hesaba katmiyonuz,
2025-06-05 15:39:37,Alican Oztuna,Cok normal abi. Takilma bu kadar,
2025-06-05 15:39:42,Lryxr1905,Süpürge gibi,
2025-06-05 15:39:43,Eren Y.,Taner abi şu arkada ki skyrimi düzeltir misin alt rafta :),
2025-06-05 15:39:43,zenjury,abi benim ps4 kolunun X tuşu bazen basmıyor bir bilgin var mı? @Konsol Oyun ,
2025-06-05 15:39:43,Scrapmaker,Ps4 fan sesi ne nostaljik geldi la suan,
2025-06-05 15:39:45,jokemoke241,Taner Abim yanlış anlama ama biraz göbek yapmışsın :rolling_on_the_floor_laughing: bendede var,
2025-06-05 15:39:46,cenk ataç,uçak motoru jet motoru değil,
2025-06-05 15:39:52,Sedat GÜVEN ,Merhabalar Taner iyi yayınlar sevgiler saygılar,
2025-06-05 15:39:59,Ercan,ps 2 varmı ?,
2025-06-05 15:40:01,Mustafa,Bana hediye edecektin abi onu,
2025-06-05 15:40:02,Sedat GÜVEN ,taner bey,
2025-06-05 15:40:04,Umut Yılmaz,bu iyi hali mi,
2025-06-05 15:40:04,Sevil Valizada Music,Normal,
2025-06-05 15:40:06,Ömür ARSLAN,bayramda açık mı? kena ve ragnarok var mı,
2025-06-05 15:40:08,Berat Kaan,dün bir cihaz vardı onu duyu bide,
2025-06-05 15:40:08,Morello,"Hayırlı kazançlar, şimdiden iyi bayramlar dilerim. Validenin ellerinden öperim. İş yerinde son günüme denk geldin, pastayı süsledin :)",
2025-06-05 15:40:08,Muzaffer Guclu,abi ps5 kullanıyorum ben ondanda fan sesi geliyo zaten sorun değil bence,
2025-06-05 15:40:15,kano,"@Sedat GÜVEN merhaba abi, hoş geldin",
2025-06-05 15:40:16,Alper Bahadır,Hadi elemana bul artık,
2025-06-05 15:40:18,Adem Gunes,1 urun alisin 3 katina satilmasi lazim 1 i maliyet 1i masraf 1i kar,
2025-06-05 15:40:22,ibrahimcan cl,bayramda açık mı? kena ve ragnarok var mı,
2025-06-05 15:40:26,LIGHTOFGOD,kral onun temizliği yapıldıktan sonra satılması daha möantıklı değil mi,
2025-06-05 15:40:27,Sgncr,Ses gelmezse sıkıntı aslında ,
2025-06-05 15:40:29,jokemoke241,Hamur işini benim gibi fazla kaçırmişsın herhalde :rolling_on_the_floor_laughing:,
2025-06-05 15:40:32,Asil Poyraz,2025 yılında ps4 almak artık mantıklı değil gibi ,
2025-06-05 15:40:33,Feqan Mustafayev,bi geliii bi gidi,
2025-06-05 15:40:34,Sedat GÜVEN ,hoşbuldum Kano Teşekkür ederim,
2025-06-05 15:40:38,Lryxr1905,Abi uncharted Nathan drake collection var mı,
2025-06-05 15:40:39,kano,@Moreallo hoş geldin,
2025-06-05 15:40:41,baxdet,:hand-pink-waving:,
2025-06-05 15:40:45,AHMET CAN ÇUFADAR,Neden 1 yıl değilde 6 ay garanti veriyorsun ,
2025-06-05 15:40:45,Scrapmaker,Oyun render yapmşyo suan ondan gelmiyo sesi,
2025-06-05 15:40:51,Onur ,o fan sesi zaten normal değilmi ısınınca fan hızlanıyor ses yapıyor,
2025-06-05 15:40:54,Efekan 'D,cihazlarin ustune not yazsan ya daha kolay olur ne neydi,
2025-06-05 15:40:56,Fuad,sos,
2025-06-05 15:41:02,fettah yağız aydınel,abi ps3 oyunları alır mısın acaba elimde 10 15 tane oyun var pes 2014 falan @Konsol Oyun ,
2025-06-05 15:41:05,Sedat GÜVEN ,Welcome New Member!,
2025-06-05 15:41:10,Feqan Mustafayev,arkada karakter agac oldu,
2025-06-05 15:41:11,Marcos,Neden 1 yıl değilde 6 ay garanti veriyorsun ,
