datetime,author,message,superChat
2025-06-04 14:55:21,Emirhan Arda Işık,çocuk şorta Battlefield 1 soktu gibi gördüm,
2025-06-04 14:55:24,Mert Dagli,çocuk iyi konuşuyor ,
2025-06-04 14:55:28,dlapfleddrippn,merhabalar abi ,
2025-06-04 14:55:30,Terminus🪶,çocuğa laf edenler siz ne yaşıyorsunuz ? gayet bilinçli akıllı birisi,
2025-06-04 14:55:31,Berat Erköse,bu çocuk ilerde ya galerici yada emlakcı olur,
2025-06-04 14:55:32,REAL,çocuk benden daha iyi pazarlık yapıyor (31 yaşındayım),
2025-06-04 14:55:32,Loxy,gene boş yorum yapanlar olur çocouk gayet nazik konuşuyor,
2025-06-04 14:55:32,Erdogan Senel,bence de 14 alsin ,
2025-06-04 14:55:33,DürüstBiri,evet annesi yanında gelmiyor o kendisi halledebilir diyor. düzgün yetiştirilen çocuk hemen kendini belli ediyor,
2025-06-04 14:55:34,Patletico12 ,@Fatih temiz baya,
2025-06-04 14:55:35,Erdem,sakalları biraz daha kısa olsa süper olurmuş,
2025-06-04 14:55:38,Yağız Ergür,7 bine okey misin,
2025-06-04 14:55:42,Nis2004,Abi iki gündür yoktun özledik ,
2025-06-04 14:55:44,hll nvr,adam gelmicek bu arada,
2025-06-04 14:55:48,Pektas,çocuk harika ya helal olsun ,
2025-06-04 14:55:49,Pasego,Oki doki iyi yayınlar,
2025-06-04 14:55:50,SİNAN KALEM,cocuk felaket,
2025-06-04 14:55:51,Eren ALPEROĞLU,arkadaşlar yer nersi dükkanın,
2025-06-04 14:55:57,Terminus🪶,şu çocuğa bile laf ediyorlar ya pes vallahi,
2025-06-04 14:56:07,firdevs yiğit,okey,
2025-06-04 14:56:09,Ofka_34,Çocuk pazarcı esnafı gibi iyi anlaştı valla,
2025-06-04 14:56:27,Fatih,@Patletico12 sen ne dersin,
2025-06-04 14:56:27,Mete,çocuk çok iyi yetiştiriliyor belli,
2025-06-04 14:56:31,Shirone,çocuk nerede,
2025-06-04 14:56:32,Nis2004,Aaaaa sakallar gitmis ,
2025-06-04 14:56:33,Atakan Ozel,çocuk babasına ne kadar benziyor,
2025-06-04 14:56:39,adNan,tamer abinin seste bir yorgunluk var sanki... umarım bir sorun yoktur.,
2025-06-04 14:56:40,Zodrex7,çocuk oyunları dızladı,
2025-06-04 14:56:50,adNan,taner*,
2025-06-04 14:56:52,Samet 🇹🇷,:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,
